Disb_Month,Media_source,stream_media_source,Business,Subbusiness,Org_Inorg,TotalDisbursalAmt,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,Total_Downloads
2025-12-31,PLCS T2,MOLOCO_INT,UPI_SETUP,UPI_SETUP,Organic,18,0,0,0,0,0,0,0,0,0,0,0,0,2,16,18
2025-04-30,PL CENTRALISED,ORGANIC,BAJAJ PRIME,BAJAJ PRIME,Organic,699,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2025-05-31,SALPL PRIME,RESTRICTED,EMI Card,IEMI,Organic,1060,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
2025-12-31,CD NORTH EAST,PLAYYAHIB_INT,UPI_TXN,UPI_TXN,Organic,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2025-12-31,DPF GROWTH,ADSWAY_INT,PPI_TXN,PPI_TXN,Organic,1389,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6
2025-12-31,RPL EMERGING,MOBAVENUE2_INT,RPL,RPL,Organic,373076,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5
2025-12-31,CD SBU,WINDYADSD_INT,UPI_TXN,UPI_TXN,Organic,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2025-04-30,PLCS GROWTH NE,ORGANIC ASO,B2B,B2B,Organic,83164,0,1,0,0,0,1,0,0,0,1,0,0,0,0,3
2025-05-31,RCD SE,GOOGLEADWORDS_INT,CPR,CPR,Organic,7000,1,3,2,0,2,3,0,0,0,2,0,0,1,0,14
2025-05-31,PL EMERGING,GOOGLEADWORDS_INT,Gold Loan,RGL,Organic,446771,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3
2025-12-31,NEW CAR DEDICATED,APPLABS_INT,PPI_TXN,PPI_TXN,Organic,1100,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
2025-05-31,PLCS T1,TEXASRAWBQF_INT,B2B,B2B,Organic,15999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-05-31,ASO,POWERMOBI4Y_INT,EMI Card,IEMI,Inorganic,1060,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2025-12-31,RPL GIN,PDAVENUE_INT,PPI_TXN,PPI_TXN,Organic,106,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
2025-12-31,RPL,XENDER02_INT,RPL,RPL,Organic,81680,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025-05-31,RPL EMERGING,MOBAVENUE2_INT,B2B,B2B,Organic,48200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-05-31,PLCS GROWTH NE,GOOGLEADWORDS_INT,Insurance,HI,Organic,79881,0,1,0,0,0,1,0,2,0,1,0,0,0,0,5
2025-12-31,RCD SE,BHXKSERTT_INT,UPI_SETUP,UPI_SETUP,Organic,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
2025-04-30,ASO,MOBWIN_INT,EMI Card,IEMI,Inorganic,530,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-04-30,PLCS GROWTH NE,FXMEDIAYD_INT,PLCS,PLCS,Organic,54387,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-12-31,CARS24,RESTRICTED,UPI_TXN,UPI_TXN,Organic,870,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3
2025-04-30,PLCS PLTB,DESMOB_INT,B2B,B2B,Organic,85699,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-04-30,2W SW,TELLIA_INT,EMI Card,IEMI,Organic,530,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-04-30,PLCS GROWTH NE,PAYMENT NON ASO,Gold Loan,RGL,Organic,469101,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
2025-05-31,DPF PRIME,MOLOCO_INT,B2B,B2B,Organic,4103549,0,0,0,1,5,11,21,14,21,31,15,21,29,16,185
2025-05-31,DPF GROWTH,PDAVENUE_INT,BAJAJ PRIME,BAJAJ PRIME,Organic,699,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2025-04-30,DPF PRIME,ORGANIC,Wheels,UCF,Organic,212113,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2025-05-31,INSURANCE DISTRIBUTION,XORAPPS_INT,B2B,B2B,Organic,8112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-12-31,DPF PRIME,MINTEGRAL_INT,BBPS_TXN,BBPS_TXN,Organic,54041,0,1,16,6,0,3,12,7,4,9,1,1,0,0,60
2025-12-31,CD SOUTH WEST,PDAVENUE_INT,EMI Card,IEMI,Organic,1060,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
2025-04-30,CD NORTH EAST,HASOFFERS_INT,PLCS,PLCS,Organic,498957,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
2025-04-30,@ PAID,RESTRICTED,DOCTOR,DOCTOR,Inorganic,1971031,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2025-12-31,LTW,COOLGAMEBQ_INT,UPI_TXN,UPI_TXN,Organic,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2025-12-31,DPF PRIME,QUANTICADS_INT,Wheels,TW,Organic,108664,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2025-04-30,SALPL GROWTH,RIVERSADS_INT,EMI Card,IEMI,Organic,530,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-05-31,DMS,HASOFFERS_INT,BAJAJ PRIME,BAJAJ PRIME,Organic,699,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2025-05-31,ASO,LINENMMEEF_INT,B2B,B2B,Inorganic,49999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025-12-31,DPF PRIME,BOHEMIANBPPH_INT,UPI_TXN,UPI_TXN,Organic,4274,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
2025-04-30,CD NORTH EAST,ORGANIC,EMI Card,IEMI,Organic,261290,467,3,3,3,3,4,1,1,5,0,1,1,1,0,493
